date,employment,unemploymentrate,month,day,year,idnumber,jobgains,jobgainsunder25,jobgains2554,jobgainsover54,jobgrowthunder25,jobgrowth2554,jobgrowthover54
1-1-2008,138.365,4.988219105,1,1,2008,200801,,,,,,,
2-1-2008,138.279,4.879175805,2,1,2008,200802,,,,,,,
3-1-2008,138.199,5.082256933,3,1,2008,200803,,,,,,,
4-1-2008,137.985,4.96654072,4,1,2008,200804,,,,,,,
5-1-2008,137.803,5.440594156,5,1,2008,200805,,,,,,,
6-1-2008,137.631,5.556923635,6,1,2008,200806,,,,,,,
7-1-2008,137.421,5.78562689,7,1,2008,200807,,,,,,,
8-1-2008,137.162,6.103167983,8,1,2008,200808,,,,,,,
9-1-2008,136.71,6.142200945,9,1,2008,200809,,,,,,,
10-1-2008,136.236,6.504558485,10,1,2008,200810,,,,,,,
11-1-2008,135.471,6.814625124,11,1,2008,200811,,,,,,,
12-1-2008,134.774,7.297533219,12,1,2008,200812,,,,,,,
1-1-2009,133.976,7.819207574,1,1,2009,200901,,,,,,,
2-1-2009,133.275,8.346167286,2,1,2009,200902,,,,,,,
3-1-2009,132.449,8.710658976,3,1,2009,200903,,,,,,,
4-1-2009,131.765,8.965820761,4,1,2009,200904,,,,,,,
5-1-2009,131.411,9.369486969,5,1,2009,200905,,,,,,,
6-1-2009,130.944,9.505804183,6,1,2009,200906,,,,,,,
7-1-2009,130.617,9.450363102,7,1,2009,200907,,,,,,,
8-1-2009,130.401,9.600404391,8,1,2009,200908,,,,,,,
9-1-2009,130.174,9.757064755,9,1,2009,200909,,,,,,,
10-1-2009,129.976,9.982833065,10,1,2009,200910,,,,,,,
11-1-2009,129.97,9.890302707,11,1,2009,200911,,,,,,,
12-1-2009,129.687,9.860819928,12,1,2009,200912,,,,,,,
1-1-2010,129.705,9.747464212,1,1,2010,201001,,,,,,,
2-1-2010,129.655,9.836716107,2,1,2010,201002,0,0,0,0,0,0,0
3-1-2010,129.811,9.880231742,3,1,2010,201003,0.156,0.004756231,-0.035738756,0.186982525,0.070480442,0,0.768250501
4-1-2010,130.062,9.915158883,4,1,2010,201004,0.407,0.008265852,0.142752768,0.25598138,0.270175026,0.380749801,1.21609321
5-1-2010,130.578,9.641478213,5,1,2010,201005,0.923,0.230701667,0.225849713,0.46644862,1.26864795,0.07976602,1.634807937
6-1-2010,130.456,9.427133847,6,1,2010,201006,0.801,-0.018282186,0.294421931,0.524860255,-0.234934806,0.213772933,1.918805753
7-1-2010,130.395,9.451160007,7,1,2010,201007,0.74,0.040133499,0.102549222,0.597317279,0.158580994,0.023398032,2.228290552
8-1-2010,130.353,9.514105668,8,1,2010,201008,0.698,0.257859452,-0.095164932,0.535305481,1.756137672,0.02765222,2.221008556
9-1-2010,130.296,9.468016704,9,1,2010,201009,0.641,0.046651517,-0.054698247,0.64904673,0.40526254,0.049986706,2.639723284
10-1-2010,130.537,9.451217528,10,1,2010,201010,0.882,0.069352366,0.296931504,0.515716129,0.187947844,0.090401489,1.754960859
11-1-2010,130.674,9.795168919,11,1,2010,201011,1.019,0.173623909,0.172568177,0.672807914,0.681310936,-0.208455198,2.202803568
12-1-2010,130.745,9.35504657,12,1,2010,201012,1.09,0.033513857,0.236716157,0.819769985,-0.01174674,0.046796065,2.960131076
1-1-2011,130.815,9.079812268,1,1,2011,201101,1.16,0.291017058,0.043630135,0.825352807,1.438975684,-0.330763095,2.818132168
2-1-2011,130.983,9.040970772,2,1,2011,201102,1.328,0.266999953,0.045216668,1.015783379,1.26864795,-0.348843393,3.535408702
3-1-2011,131.195,8.962015084,3,1,2011,201103,1.54,0.357359981,0.126882873,1.055757146,1.902971925,-0.188247806,3.761150555
4-1-2011,131.517,9.080134926,4,1,2011,201104,1.862,0.341775176,0.177036275,1.343188549,1.462469165,-0.467960649,4.522119061
5-1-2011,131.619,9.036254446,5,1,2011,201105,1.964,0.298934027,0.357469935,1.307596038,1.198167509,-0.261632545,4.387402148
6-1-2011,131.836,9.108749511,6,1,2011,201106,2.181,0.349899735,0.422323061,1.408777204,1.168800658,-0.529646371,4.420171127
7-1-2011,131.942,8.991644326,7,1,2011,201107,2.287,0.283421418,0.525213746,1.478364836,0.687184306,-0.481786759,4.616784999
8-1-2011,132.064,8.99013817,8,1,2011,201108,2.409,0.453890538,0.377056514,1.578052947,1.991072477,-0.408402021,5.253959585
9-1-2011,132.285,9.025762857,9,1,2011,201109,2.63,0.543099806,0.198748016,1.888152178,2.5372959,-0.617920766,6.440924813
10-1-2011,132.468,8.83726671,10,1,2011,201110,2.813,0.779344672,0.175759715,1.857895613,4.064372137,-0.589204999,6.382668851
11-1-2011,132.632,8.649146833,11,1,2011,201111,2.977,0.623793816,0.444183615,1.909022568,3.218606837,-0.168040415,6.706717641
12-1-2011,132.828,8.504086379,12,1,2011,201112,3.173,0.593625857,0.591192513,1.98818163,3.013038882,-0.019143845,6.994356454
1-1-2012,133.188,8.19688065,1,1,2012,201201,3.533,0.718254278,0.421267019,2.393478704,3.988018325,-0.020207392,8.767522301
2-1-2012,133.414,8.320953845,2,1,2012,201202,3.759,0.74931844,0.361698995,2.647982565,4.269940092,-0.003190641,9.845257601
3-1-2012,133.657,8.224221793,3,1,2012,201203,4.002,0.766649695,0.584435827,2.650914478,4.305180312,0.178675884,9.779719643
4-1-2012,133.753,8.153798377,4,1,2012,201204,4.098,0.761909946,0.711412994,2.62467706,4.046752026,0.102100505,9.437465866
5-1-2012,133.863,8.189304661,5,1,2012,201205,4.208,0.880006268,0.561427735,2.766565996,4.992364619,0.132943366,10.20571637
6-1-2012,133.951,8.187760259,6,1,2012,201206,4.296,0.892616246,0.460832872,2.942550882,5.115705392,0.061685722,10.93391589
7-1-2012,134.111,8.19384397,7,1,2012,201207,4.456,0.945336546,0.678564153,2.832099301,5.092211911,-0.02765222,10.13653741
8-1-2012,134.261,8.058551219,8,1,2012,201208,4.606,0.595342673,0.819259036,3.191398292,2.836837778,0.056367987,11.44001456
9-1-2012,134.422,7.786242799,9,1,2012,201209,4.767,0.902121059,0.683037922,3.18184102,5.180312463,0.318000532,11.86601129
10-1-2012,134.647,7.805436411,10,1,2012,201210,4.992,0.965816835,0.655587875,3.37059529,5.814636438,0.511566073,12.84908065
11-1-2012,134.85,7.757055088,11,1,2012,201211,5.195,1.0416727,0.577047485,3.576279815,5.937977211,0.090401489,13.27143637
12-1-2012,135.064,7.89336592,12,1,2012,201212,5.409,0.921312855,0.820259233,3.667427912,5.06284506,0.246742888,13.48989623
1-1-2013,135.261,7.909492033,1,1,2013,201301,5.606,1.006671629,0.888967358,3.710361013,5.403500529,0.142515288,13.44984526
2-1-2013,135.541,7.746718882,2,1,2013,201302,5.886,0.945096908,1.176893235,3.764009857,4.957124398,0.406274927,13.58820317
3-1-2013,135.682,7.547437443,3,1,2013,201303,6.027,0.853293964,1.337181966,3.83652407,4.19358628,0.400957192,13.65738212
4-1-2013,135.885,7.52000206,4,1,2013,201304,6.23,1.032591351,1.302864697,3.894543952,5.338893457,0.393512364,13.91589295
5-1-2013,136.084,7.512418947,5,1,2013,201305,6.429,0.987403247,1.379546128,4.062050625,5.145072242,0.562616325,14.65501547
6-1-2013,136.285,7.538730089,6,1,2013,201306,6.63,1.194102877,1.338627054,4.097270069,6.360859861,0.452007445,14.71691243
7-1-2013,136.434,7.327240146,7,1,2013,201307,6.779,1.216424141,1.402167045,4.160408815,6.466580524,0.492422228,14.9244493
8-1-2013,136.636,7.241612249,8,1,2013,201308,6.981,1.110803979,1.479288853,4.390907168,5.656055445,0.431800053,15.64172583
9-1-2013,136.8,7.205752767,9,1,2013,201309,7.145,1.384797859,1.581817599,4.178384543,7.300599084,0.496676416,14.7678864
10-1-2013,137.037,7.204527082,10,1,2013,201310,7.382,1.361166771,1.674638067,4.346195162,6.501820745,-0.011699016,14.70963044
11-1-2013,137.311,6.981401819,11,1,2013,201311,7.656,1.412358352,1.854790029,4.388851619,7.224245272,0.571124701,15.31039505
12-1-2013,137.395,6.68077993,12,1,2013,201312,7.74,1.51653033,1.892200077,4.331269594,7.934923059,0.6753523,15.16111415
1-1-2014,137.539,6.584330374,1,1,2014,201401,7.884,1.270705206,2.208144982,4.405149813,6.660401739,1.262430205,15.71090479
2-1-2014,137.761,6.716326858,2,1,2014,201402,8.106,1.139740984,2.309730553,4.656528463,5.761776107,1.293273066,16.58110322
3-1-2014,137.964,6.711985047,3,1,2014,201403,8.309,1.499294115,2.315208277,4.494497608,8.116997533,1.41983515,16.09685054
4-1-2014,138.268,6.275173399,4,1,2014,201404,8.613,1.500425555,2.368578719,4.743995726,7.823329026,1.197553842,16.73038413
5-1-2014,138.497,6.297031739,5,1,2014,201405,8.842,1.640951462,2.28334957,4.917698968,8.669094326,1.08056368,17.37119971
6-1-2014,138.795,6.084973827,6,1,2014,201406,9.14,1.521719655,2.659458547,4.958821798,8.011276871,1.576176549,17.61514655
7-1-2014,139.004,6.198445101,7,1,2014,201407,9.349,1.618239017,2.59652628,5.134234703,8.522260073,1.425152885,18.19406517